Simulator streaming data to projects/project-44e3d7cf-953b-4eaa-b79/topics/ev-telemetry-raw... Press Ctrl+C to stop.
→ Published: EVSE-001 | V=389.0V | Temp=34.5C | Fault=None
→ Published: EVSE-002 | V=407.1V | Temp=35.2C | Fault=None
→ Published: EVSE-003 | V=418.4V | Temp=34.4C | Fault=None
→ Published: EVSE-004 | V=401.9V | Temp=38.7C | Fault=None
→ Published: EVSE-005 | V=394.0V | Temp=29.4C | Fault=None
→ Published: EVSE-001 | V=387.5V | Temp=36.3C | Fault=None
→ Published: EVSE-002 | V=415.9V | Temp=26.5C | Fault=None
→ Published: EVSE-003 | V=397.4V | Temp=30.6C | Fault=None
→ Published: EVSE-004 | V=393.5V | Temp=20.3C | Fault=None
→ Published: EVSE-005 | V=413.3V | Temp=44.8C | Fault=None
→ Published: EVSE-001 | V=408.1V | Temp=20.0C | Fault=None
→ Published: EVSE-002 | V=407.5V | Temp=25.8C | Fault=None
→ Published: EVSE-003 | V=402.0V | Temp=24.2C | Fault=None
→ Published: EVSE-004 | V=388.8V | Temp=24.3C | Fault=None
→ Published: EVSE-005 | V=390.7V | Temp=29.5C | Fault=None
→ Published: EVSE-001 | V=385.9V | Temp=24.4C | Fault=None
→ Published: EVSE-002 | V=409.1V | Temp=25.5C | Fault=None
→ Published: EVSE-003 | V=380.2V | Temp=26.0C | Fault=None
→ Published: EVSE-004 | V=401.5V | Temp=34.2C | Fault=None
→ Published: EVSE-005 | V=388.3V | Temp=31.0C | Fault=None
→ Published: EVSE-001 | V=318.2V | Temp=75.8C | Fault=F001_OVERHEAT
→ Published: EVSE-002 | V=405.9V | Temp=39.0C | Fault=None
→ Published: EVSE-003 | V=315.6V | Temp=77.0C | Fault=F002_UNDERVOLT
→ Published: EVSE-004 | V=413.1V | Temp=31.3C | Fault=None
→ Published: EVSE-005 | V=385.1V | Temp=39.9C | Fault=None
→ Published: EVSE-001 | V=383.1V | Temp=35.7C | Fault=None
→ Published: EVSE-002 | V=385.3V | Temp=36.3C | Fault=None
→ Published: EVSE-003 | V=389.1V | Temp=41.5C | Fault=None
→ Published: EVSE-004 | V=393.0V | Temp=28.7C | Fault=None
→ Published: EVSE-005 | V=383.8V | Temp=43.1C | Fault=None
→ Published: EVSE-001 | V=404.0V | Temp=40.1C | Fault=None
→ Published: EVSE-002 | V=384.6V | Temp=34.6C | Fault=None
→ Published: EVSE-003 | V=381.4V | Temp=42.8C | Fault=None
→ Published: EVSE-004 | V=394.4V | Temp=39.3C | Fault=None
→ Published: EVSE-005 | V=408.3V | Temp=34.1C | Fault=None
→ Published: EVSE-001 | V=407.4V | Temp=23.7C | Fault=None
→ Published: EVSE-002 | V=397.2V | Temp=44.4C | Fault=None
→ Published: EVSE-003 | V=388.0V | Temp=25.8C | Fault=None
→ Published: EVSE-004 | V=412.9V | Temp=26.4C | Fault=None
→ Published: EVSE-005 | V=411.0V | Temp=36.1C | Fault=None
→ Published: EVSE-001 | V=418.5V | Temp=25.2C | Fault=None
→ Published: EVSE-002 | V=386.5V | Temp=38.8C | Fault=None
→ Published: EVSE-003 | V=385.5V | Temp=26.3C | Fault=None
→ Published: EVSE-004 | V=415.0V | Temp=31.5C | Fault=None
→ Published: EVSE-005 | V=392.0V | Temp=27.3C | Fault=None
→ Published: EVSE-001 | V=383.5V | Temp=42.0C | Fault=None
→ Published: EVSE-002 | V=390.0V | Temp=37.4C | Fault=None
→ Published: EVSE-003 | V=409.2V | Temp=37.9C | Fault=None
